,tweet_id,user_id,text,created_at,label,Drug Name Extracted,Drug Name Normalized,txt_tokenized,txt_tagged,prediction,pattern_matching
899,593949713470218240,1109426780,"I'm very needy. I need my check, I need fxck nxggas to stay aways from me, and I need lame bxtches to know their place. TUH💅",2015-05-01 01:27:01,0,,,"[""i'm"", 'very', 'needy', '.', 'i', 'need', 'my', 'check', ',', 'i', 'need', 'fxck', 'nxggas', 'to', 'stay', 'aways', 'from', 'me', ',', 'and', 'i', 'need', 'lame', 'bxtches', 'to', 'know', 'their', 'place', '.', 'tuh', '💅']","[""i'm"", 'very', 'needy', '.', 'i', 'need', 'my', 'check', ',', 'i', 'need', 'fxck', 'nxggas', 'to', 'stay', 'aways', 'from', 'me', ',', 'and', 'i', 'need', 'lame', 'bxtches', 'to', 'know', 'their', 'place', '.', 'tuh', '💅']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
380,296454927490899968,622660142,RT @jake_ledesma: I'm complex but I'm reasonable too...I'm worth a try is what I'm tryna say ^.^,2013-01-30 03:08:57,0,,,"['rt', '@jake_ledesma', ':', ""i'm"", 'complex', 'but', ""i'm"", 'reasonable', 'too', '...', ""i'm"", 'worth', 'a', 'try', 'is', 'what', ""i'm"", 'tryna', 'say', '^', '.', '^']","['rt', '@jake_ledesma', ':', ""i'm"", 'complex', 'but', ""i'm"", 'reasonable', 'too', '...', ""i'm"", 'worth', 'a', 'try', 'is', 'what', ""i'm"", 'tryna', 'say', '^', '.', '^']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
159,829710690256617477,56477340,"@brokeymcpoverty &amp; you'd be 1,000,000,000,000,000 times more competent than a dried up cheeto.",2017-02-09 15:16:58,0,,,"['@brokeymcpoverty', '&', ""you'd"", 'be', '1,000', ',', '000,000', ',', '000,000', 'times', 'more', 'competent', 'than', 'a', 'dried', 'up', 'cheeto', '.']","['@brokeymcpoverty', '&', ""you'd"", 'be', '1,000', ',', '000,000', ',', '000,000', 'times', 'more', 'competent', 'than', 'a', 'dried', 'up', 'cheeto', '.']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
568,871158850442862594,192451820,@sherlock_stein Then take a nap on the covfefe,2017-06-04 00:17:09,0,,,"['@sherlock_stein', 'then', 'take', 'a', 'nap', 'on', 'the', 'covfefe']","['@sherlock_stein', 'then', 'take', 'a', 'nap', 'on', 'the', 'covfefe']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
68,330297284833181697,924959827,"Super excited to try my licorice yogi tea!! It smells amazing! Cinnamon, clove and licorice like.… http://t.co/5wjk2lVJgS",2013-05-03 12:26:23,0,,,"['super', 'excited', 'to', 'try', 'my', 'licorice', 'yogi', 'tea', '!', '!', 'it', 'smells', 'amazing', '!', 'cinnamon', ',', 'clove', 'and', 'licorice', 'like', '.', '…', 'http://t.co/5wjk2lvjgs']","['super', 'excited', 'to', 'try', 'my', 'licorice', 'yogi', 'tea', '!', '!', 'it', 'smells', 'amazing', '!', 'cinnamon', ',', 'clove', 'and', 'licorice', 'like', '.', '…', 'http://t.co/5wjk2lvjgs']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
574,677227969132298240,3304179922,RT @KrystalOrchid: Raising funds for our troop with @TheAlyssaHart and we get a Scouting Surprise MP4 #18&amp;19YRSOLD  https://t.co/M9uLJc5zqe,2015-12-16 20:45:04,0,,,"['rt', '@krystalorchid', ':', 'raising', 'funds', 'for', 'our', 'troop', 'with', '@thealyssahart', 'and', 'we', 'get', 'a', 'scouting', 'surprise', 'mp4', '#18', '&', '19yrsold', 'https://t.co/m9uljc5zqe']","['rt', '@krystalorchid', ':', 'raising', 'funds', 'for', 'our', 'troop', 'with', '@thealyssahart', 'and', 'we', 'get', 'a', 'scouting', 'surprise', 'mp4', '#18', '&', '19yrsold', 'https://t.co/m9uljc5zqe']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
734,814880702831464448,556251522,"RT @PointlessBlog: 3,750,000 Subscribers on my daily vlogging channel!! https://t.co/K3cei4f58O",2016-12-30 17:07:53,0,,,"['rt', '@pointlessblog', ':', '3,750', ',', '000', 'subscribers', 'on', 'my', 'daily', 'vlogging', 'channel', '!', '!', 'https://t.co/k3cei4f58o']","['rt', '@pointlessblog', ':', '3,750', ',', '000', 'subscribers', 'on', 'my', 'daily', 'vlogging', 'channel', '!', '!', 'https://t.co/k3cei4f58o']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
244,898075598567944192,876407528309084160,"RT @agathachristie: A dose of #WednesdayWisdom from August's Book of the Month, The Mystery of the Blue Train https://t.co/htlubUwXel https…",2017-08-17 06:54:42,0,,,"['rt', '@agathachristie', ':', 'a', 'dose', 'of', '#wednesdaywisdom', 'from', ""august's"", 'book', 'of', 'the', 'month', ',', 'the', 'mystery', 'of', 'the', 'blue', 'train', 'https://t.co/htlubuwxel', 'https', '…']","['rt', '@agathachristie', ':', 'a', 'dose', 'of', '#wednesdaywisdom', 'from', ""august's"", 'book', 'of', 'the', 'month', ',', 'the', 'mystery', 'of', 'the', 'blue', 'train', 'https://t.co/htlubuwxel', 'https', '…']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
783,802701969181683712,2691812864,RT @chaewonho: I can't believe last night I was on buzzfeed and today I'm on allkpop what the fuSKX LMAO IM https://t.co/TDWiT9E3E4,2016-11-27 02:33:57,0,,,"['rt', '@chaewonho', ':', 'i', ""can't"", 'believe', 'last', 'night', 'i', 'was', 'on', 'buzzfeed', 'and', 'today', ""i'm"", 'on', 'allkpop', 'what', 'the', 'fuskx', 'lmao', 'im', 'https://t.co/tdwit9e3e4']","['rt', '@chaewonho', ':', 'i', ""can't"", 'believe', 'last', 'night', 'i', 'was', 'on', 'buzzfeed', 'and', '__@DRUG@__', ""i'm"", 'on', 'allkpop', 'what', 'the', 'fuskx', 'lmao', 'im', 'https://t.co/tdwit9e3e4']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
774,816270384823668736,72989952,@the_write_girl thanks to #beatbugs my #earworm of l8 @DoorHardwareLux @JohnLusher @johnstrauss @CarisaMarie11 @ShelleyCHolmes @TheMrsHelms,2017-01-03 13:09:59,0,,,"['@the_write_girl', 'thanks', 'to', '#beatbugs', 'my', '#earworm', 'of', 'l8', '@doorhardwarelux', '@johnlusher', '@johnstrauss', '@carisamarie11', '@shelleycholmes', '@themrshelms']","['@the_write_girl', 'thanks', 'to', '#beatbugs', 'my', '#earworm', 'of', 'l8', '@doorhardwarelux', '@johnlusher', '@johnstrauss', '@carisamarie11', '@shelleycholmes', '@themrshelms']",1,<took>|<popped>|<swallowed>|<prescribed>|<recommeded>|<taking><with>|<a>|<my>|<on> <.*>* <__@DRUG@__>
