,tweet_id,user_id,text,created_at,label,Drug Name Extracted,Drug Name Normalized,prediction,drugs_predicted
5,5.17E+17,281303853,"Soon no more BET, MTV, VH1, Nickelodeon, CMT, ComedyCentral for suddenlink folks ! 😤😤 tf we gon watch ?",10/1/2014 11:31,0,,,1,tral
36,8.22E+17,369307697,Had a dream last night that I was on an adventure with Andy Bernard and Tyrion Lannister...,1/18/2017 14:18,0,,,1,dv
52,9.07E+17,7.83E+17,Folic acid may mitigate autism risk from pesticideshttps://t.co/1KKE4iDQnO,9/10/2017 2:43,0,,,1,folic acid
57,8.11E+17,6.97E+17,"RT @malaynap: I pray my BF and I never lose the spark in our love.. that man is my best friend, my hope, my confidant... I love him so much",12/20/2016 0:06,0,,,1,onfi
99,8.71E+17,2718746888,"&lt; don't let the bad guys get away with hurtin' girls. I had to do something, Mama.""Taking a deep, calming breath, Alli sighed, stopping &gt;",6/2/2017 16:27,0,,,1,alli
113,5.14E+17,868640221,Can't wait to share with you all this beauty regimen I have been using with the #neutrogena visibly… http://t.co/1eAFTrgurB,9/23/2014 2:05,0,,,1,ogen
121,5.54E+17,37311504,Great article to learn about the health benefits of folate!NOTE: For ladies who are planning on falling... http://t.co/MsME3FHhBT,1/10/2015 23:01,0,,,1,alli
130,8.39E+17,24030306,RT @KAKEnews: WATCH LIVE: Update on Highlands wildfire in Reno County: https://t.co/dVtff8NQIt #KAKEnews,3/7/2017 20:55,0,,,1,dv
164,5.39E+17,615774686,"RT @TexasHSHotties: Malvin and Camden, Birdville High School http://t.co/IJxNavehDP",12/1/2014 16:35,0,,,1,dv
176,8.89E+17,7.40E+17,"If left unchecked, global change feels like the practicality of it all. -Percy Bysshe Shelley",7/24/2017 13:50,0,,,1,bal
186,9.02E+17,3287154228,RT @eugenegu: @Advil @realDonaldTrump We must repeal and replace the President of the United States. Thanks!,8/28/2017 4:38,0,,,1,advil; dv
191,8.43E+17,7.63E+17,"@RavenOfWroclaw &amp; ate a pot lozenge on Thanksgiving. One of my senators is a Newly Woke Dad™, he was at the Women's March w/ his daughter.",3/17/2017 19:12,0,,,1,ocl
194,8.42E+17,1269975001,I know many of you have no sign of spring out there today! 😢 But hopefully this little free print will help you... https://t.co/DyEBFYsdNB,3/14/2017 21:56,0,,,1,today
212,8.88E+17,8.14E+17,Major Lazer feat. Travis Scott &amp; Camila Cabello // Know No Better,7/19/2017 20:47,0,,,1,camila
231,5.08E+17,51618617,Legs are itchy today..Don't see any bug bites though..Time to rub on the Aveeno.,9/4/2014 21:44,0,,,1,today
236,4.20E+17,389719594,"Wait, fat-shaming doesn't work?! And actually has adverse effects? Shocking! http://t.co/Op9qiD8arr h/t @SocImages",1/5/2014 18:03,0,,,1,dv
240,4.42E+17,1416892110,so far the inhaler isn't helping :\ I may end up waking my mom up to bring me somewhere,3/8/2014 7:14,0,,,1,inh
260,8.93E+17,218569600,"There are so many theories about Azor Ahai, but this new 'Game of Thrones' fan theory will blow your mind. Could [… https://t.co/cvDyFnh8rx",8/2/2017 19:15,0,,,1,azor
270,8.51E+17,972419640,I use hydrogen peroxide in just about every room of the house. Check out how you can start using it: https://t.co/YznTa4rYk7,4/8/2017 15:41,0,,,1,ogen
285,8.42E+17,2352973992,RT @PreguntaMama: A2. Folic acid helps you recover more quickly from any illness  #AvoHappiness  #gno,3/15/2017 0:18,0,,,1,folic acid
297,6.02E+17,3041250210,@Mymummyspam Thanks beauts! Have a fab Friday! @talesandtea @Clairebellalove @nicolasays @mumtoamonsterJ @PlutoniumSox @MummyKV @M_Mummy_,5/22/2015 7:40,0,,,1,ella
302,9.04E+17,8.36E+17,Safaricom Job Vacancy : Solutions Sales Manager - https://t.co/NEKnq5xDtj via @TodayKenya#Kenya,9/2/2017 7:50,0,,,1,today
314,3.29E+17,232157095,Heart Crystal Silver Nail Ring from @bornprettystore review is up on my blog today http://t.co/DwRr70eZ8U #fblogger #bblogger #nails #bps,4/30/2013 15:57,0,,,1,today
327,8.31E+17,113653052,aaaww This was so sweet ! 🔥✨💎@giaabella @KalaniHilliker @Kk_Vertes @NiaSioux @b_rumfalloCrashed - Surprise Party - https://t.co/iYZosCKIez,2/11/2017 23:02,0,,,1,ella
344,7.14E+17,27019906,#AromatherapyTipOfTheDay Topical use of the oil of geranium can be a fabulous choice for pain management. #Aromatherapy #EssentialOils,3/26/2016 18:35,0,,,1,ulo
350,9.03E+17,18495916,#FYI Amazon Just Marked These 500GB and 1TB SSDs Down to Their Lowest Prices of the Year https://t.co/uPC3aJ3SaU,8/30/2017 19:51,0,,,1,ssd
356,5.54E+17,2820868761,Pussy put his ass to sleep now he callin me NyQuil... 😼,1/10/2015 6:54,0,,,1,alli
367,8.86E+17,533380626,#Porn #Gallery Amazing breasted Alli poses in the bath https://t.co/MzXqhJH5NS,7/16/2017 2:00,0,,,1,alli
406,8.42E+17,361488635,The Xanax Wives Club #DrugMovies @midnight,3/15/2017 3:52,0,,,1,xanax
415,6.16E+17,1127006551,I wish someone would take me to zmax or Carowinds or the gun range or paintballing. I wanna do something with adrenaline involved.,7/2/2015 0:12,0,,,1,adrenalin; alli; bal; zmax
